iter	Logloss
225	0.6434683513
226	0.6433397928
227	0.6431796904
228	0.6430253952
229	0.6428832722
230	0.6427322533
231	0.6425240924
232	0.6423394912
233	0.6421996288
234	0.6420309355
235	0.6418861847
236	0.6417504615
237	0.6415465088
238	0.6413341831
239	0.6411728913
240	0.640952695
241	0.6408190816
242	0.6406034352
243	0.6404041665
244	0.6402713708
245	0.640121942
246	0.6399027516
247	0.6397270066
248	0.6395104656
249	0.639342614
250	0.6391787282
251	0.6390470878
252	0.6387963027
253	0.6386150839
254	0.6384871502
255	0.6383307706
256	0.6381534169
257	0.6379119605
258	0.637706007
259	0.6374851963
260	0.6373153066
261	0.6371578928
262	0.636960256
263	0.6367704414
264	0.6366086977
265	0.6364021955
266	0.6362128239
267	0.6360301269
268	0.6358979763
269	0.6357582545
270	0.6356439836
271	0.6354563176
272	0.6353106152
273	0.6350892918
274	0.6348833325
275	0.6347359699
276	0.6345504841
277	0.6343725404
278	0.6341805669
279	0.634023928
280	0.6338576289
281	0.6337240977
282	0.6335265729
283	0.6333468602
284	0.6331850115
285	0.6330469311
286	0.6329007455
287	0.6326878339
288	0.6324342555
289	0.6322729674
290	0.6321127042
291	0.6318611923
292	0.6316530623
293	0.6314742491
294	0.6313398345
295	0.6311365832
296	0.6309413063
297	0.6308230327
298	0.630608043
299	0.6304774046
300	0.6303248033
301	0.6301399799
302	0.629995287
303	0.6298215766
304	0.6296888703
305	0.629513262
306	0.6293476258
307	0.629126196
308	0.6289964856
309	0.6287804577
310	0.6286347492
311	0.6284847011
312	0.6283019669
313	0.6281688479
314	0.6279886526
315	0.6277825214
316	0.6276586256
317	0.6275140869
318	0.6274175905
319	0.6272162
320	0.6270347349
321	0.6268849277
322	0.6266738548
323	0.6265086872
324	0.6263473087
325	0.6261520982
326	0.6260345652
327	0.6258852221
328	0.6257630141
329	0.6256081097
330	0.6254557165
331	0.625281436
332	0.6251650366
333	0.6250619943
334	0.6248764614
335	0.62470985
336	0.6245457907
337	0.6243945878
338	0.624269075
339	0.624083862
340	0.6239446988
341	0.6237411739
342	0.6235604161
343	0.623440897
344	0.6231721591
345	0.6229879493
346	0.6228032716
347	0.6225914097
348	0.6224583105
349	0.6222442886
350	0.6221285091
351	0.6218927151
352	0.6216922478
353	0.6215665436
354	0.6213991788
355	0.6212545321
356	0.6211260922
357	0.6209828932
358	0.6208134895
359	0.6207023183
360	0.6204894095
361	0.6202897789
362	0.6201664625
363	0.6200213296
364	0.6198924521
365	0.6197158334
366	0.619496407
367	0.6192947241
368	0.6191188866
369	0.6189469204
370	0.6187951833
371	0.6186267011
372	0.6184314006
373	0.6183032795
374	0.6179964746
375	0.617913047
376	0.6177288437
377	0.6176170144
378	0.6173947422
379	0.6172121272
380	0.6169758308
381	0.6167819914
382	0.6166032867
383	0.6164114366
384	0.6162466713
385	0.6160995488
386	0.6159168165
387	0.615750212
388	0.615550407
389	0.6154026644
390	0.6152677479
391	0.6150911716
392	0.6149445216
393	0.6147506577
394	0.6146293663
395	0.6144306056
396	0.6142273018
397	0.6140564199
398	0.6139275969
399	0.6137650041
400	0.613628481
401	0.613392923
402	0.6132297947
403	0.6130548908
404	0.6129224412
405	0.6128141396
406	0.6126247711
407	0.612490794
408	0.6122899822
409	0.612148857
410	0.6120139181
411	0.6118746414
412	0.6117507326
413	0.6115392073
414	0.6114028813
415	0.6112315507
416	0.611043081
417	0.6108753155
418	0.610739
419	0.6105454304
420	0.6104018077
421	0.610201219
422	0.6100813861
423	0.6100147946
424	0.6098199322
425	0.6096568877
426	0.6095350129
427	0.6094225518
428	0.6091769716
429	0.6090178505
430	0.608879025
431	0.6087451127
432	0.608593906
433	0.6083418327
434	0.6081753538
435	0.6079987942
436	0.6078398312
437	0.6076492787
438	0.607525286
439	0.6073645347
440	0.6072396254
441	0.607018084
442	0.6068854393
443	0.6067908623
444	0.6066361678
445	0.6064480005
446	0.6062853097
447	0.6061192477
448	0.6059731578
449	0.6058074827
450	0.6056988762
451	0.6054848037
452	0.605411021
453	0.6051495767
454	0.6049899388
455	0.6048454869
456	0.6047441087
457	0.6046200615
458	0.6044586988
459	0.6042920389
460	0.6041538369
461	0.6040539375
462	0.6038857495
463	0.6037828587
464	0.6036090362
465	0.6034376891
466	0.6033350645
467	0.6032146285
468	0.6030779702
469	0.6029503156
470	0.6027592023
471	0.6026305414
472	0.6024761545
473	0.6023190956
474	0.6021396436
475	0.6020121736
476	0.6018448801
477	0.6015854982
478	0.6014639683
479	0.6013586561
480	0.6012401071
481	0.6010879992
482	0.6009299738
483	0.6007663331
484	0.6006450259
485	0.6004467834
